County ,Fire Name ,Start Date,End Date,Fire Size in Acre,Type of Terrian,Cause,Structures Damaged/Destroyed,Fire Fatalities ,Civil Fatalities 
MODOC,LAKE COMPLEX,8/5/12,8/9/12,"1,668",TGB,LIGHTNING,0,0,0
FRESNO,BEAR,8/5/12,8/12/12,835,TB,LIGHTNING,0,0,0
SISKIYOU,FORT COMPLEX,8/5/12,9/10/12,"23,653",TB,LIGHTNING,0,0,0
MODOC,"BARRYPOINT 
(CA LAND)",8/6/12,8/28/12,"38,394",T,LIGHTNING,3,0,0
MONO,INDIAN,8/8/12,8/15/12,"12,574",TGB,LIGHTNING,0,0,0
KERN,"JAWBONE 
COMPLEX",8/10/12,8/22/12,"1,218",TB,LIGHTNING,19,9,0
INYO,SOUTH COMPLEX,8/10/12,10/16/12,453,B,LIGHTNING,0,0,0
CALAVERAS,RAMSEY,8/11/12,8/31/12,"1,137",T,CAMPFIRE,0,0,0
LASSEN,RUSH,8/12/12,8/31/12,"271,911",GB,LIGHTNING,0,1,0
MODOC,NELSON (W-1),8/17/12,8/21/12,"3,661",GB,LIGHTNING,0,0,0
SHASTA,BAGLEY COMPLEX,8/18/12,8/22/12,"1,000",T,LIGHTNING,0,0,0
SHASTA,BAGLEY,8/18/12,9/1512,"46,011",T,LIGHTNING,0,0,0
MENDOCINO,NORTH PASS,8/18/12,9/1612,"41,983",T,LIGHTNING,26,4,0
MODOC,ANTELOPE,8/21/12,8/25/12,650,TG,LIGHTNING,0,0,0
LOS ANGELES,WILLIAMS,9/2/12,9/11/12,"4,192",B,UI,0,0,0
TRINITY,STAFFORD,9/5/12,9/13/12,"4,407",T,UI,0,0,0
LASSEN,LIKELY,9/5/12,9/14/12,"9,838",GTB,HUMAN,0,0,0
SHASTA,WARD,9/11/12,9/14/12,550,T,UI,0,0,0
SAN BERNARDINO,DEVORE,11/5/12,11/6/12,335,GB,UI,1,0,0
